Date,Low,High,Volume,Close
1/2/2014,394.02,399.36,2137800,397.97
1/3/2014,396.22,402.71,2210200,396.44
1/6/2014,388.42,397,3170600,393.63
1/7/2014,394.29,398.47,1916000,398.03
1/8/2014,396.04,403,2316500,401.92
1/9/2014,398.44,406.89,2103000,401.01
1/10/2014,393.8,403.764,2679500,397.66
1/13/2014,388.45,399.78,2844900,390.98
1/14/2014,391.29,398.63,2340100,397.54
1/15/2014,392.534,399.31,2678300,395.87
1/16/2014,389.41,399.29,2601200,395.8
1/17/2014,393.66,403.49,4505100,399.61
1/21/2014,401.6,407.8,3122100,407.05
1/22/2014,402,408.06,2060500,404.54
1/23/2014,397.79,406.17,3025400,399.87
1/24/2014,387.27,400.2,4458400,387.6
1/27/2014,380.49,394.1,3936800,386.28
1/28/2014,387.12,394.74,2894500,394.43
1/29/2014,383.24,392.85,3382300,384.2
1/30/2014,387.7,406.25,10473900,403.01
1/31/2014,357.76,375.45,16154800,358.69
2/3/2014,340.1,360.85,10280800,346.15
2/4/2014,344.02,353.9975,4812900,347.95
2/5/2014,337.73,349.37,4435400,346.45
2/6/2014,347.403,354.82,3335700,354.59
2/7/2014,352.49,361.8,4330500,361.08
2/10/2014,359.35,365,3449700,360.87
2/11/2014,356.25,363.61,3222100,361.79
2/12/2014,346.32,357.75,6587700,349.25
2/13/2014,346.5,357.2,4175000,357.2
2/14/2014,353.35,359.34,3520200,357.35
2/18/2014,349.45,355.73,4998000,353.65
2/19/2014,346.1,354.54,4168100,347.38
2/20/2014,344.38,350.46,3492800,349.8
2/21/2014,346.75,354.141,4210000,346.76
2/24/2014,343.29,353,3644700,351.78
2/25/2014,351.58,361.08,3736400,358.32
2/26/2014,357.17,364.75,3622100,359.8
2/27/2014,355.5,360.59,3104900,360.13
2/28/2014,357.084,365.865,3882000,362.1
3/3/2014,354.48,360.96,2798300,359.78
3/4/2014,362.46,365.68,2704400,363.9
3/5/2014,363.9,372.728,3848300,372.37
3/6/2014,368.9,375.33,2926600,372.16
3/7/2014,369.531,374.99,2279800,372.06
3/10/2014,367,372.73,2105800,370.53
3/11/2014,367.28,372.8,2246100,368.82
3/12/2014,363.61,371.16,2216600,370.64
3/13/2014,368.08,383.11,6829000,371.51
3/14/2014,371.55,378.568,4402200,373.74
3/17/2014,374.88,378.85,2303000,375.04
3/18/2014,375,379,2483500,378.77
3/19/2014,369.42,379,2646700,373.23
3/20/2014,366.22,373,2558500,368.97
3/21/2014,358.4,372.84,5414100,360.62
3/24/2014,348.6,361.5,4873500,351.85
3/25/2014,348.84,358.97,4445700,354.71
3/26/2014,343.4,357.6,4120700,343.41
3/27/2014,330.88,343.9999,5766400,338.47
3/28/2014,336.08,347,3986800,338.29
3/31/2014,334.06,346.29,4297500,336.365
4/1/2014,338,344.43,3600100,342.99
4/2/2014,340.38,348.295,4475500,341.96
4/3/2014,328.46,342.5,6399300,333.62
4/4/2014,315.61,335.44,12534600,323
4/7/2014,313.13,324.94,7077400,317.76
4/8/2014,318.44,328,6577600,327.07
4/9/2014,322.5,332.18,5056600,331.805
4/10/2014,316.5,331,6126700,317.11
4/11/2014,309.5,316.5,7287500,311.73
4/14/2014,311.28,320.48,4293500,315.91
4/15/2014,305.5,318.28,5398600,316.08
4/16/2014,314.71,324,4284900,323.68
4/17/2014,319.76,328.66,4299200,324.91
4/21/2014,322.31,331.1499,2999400,330.87
4/22/2014,328.94,337.5,3711600,329.32
4/23/2014,323.39,333.13,3604600,324.58
4/24/2014,322.95,337.4,9293700,337.15
4/25/2014,302.71,316.49,16180200,303.83
4/28/2014,288,304.39,14479800,296.58
4/29/2014,290.45,301.84,6509300,300.38
4/30/2014,298.1,304.56,4088600,304.13
5/1/2014,304,310.48,4328600,307.89
5/2/2014,304.31,313.29,3995100,308.01
5/5/2014,305,310.23,2519900,310.05
5/6/2014,297.04,309.81,4682300,297.38
5/7/2014,286.68,296.4,7015200,292.71
5/8/2014,287.23,295.8784,3848200,288.32
5/9/2014,284.38,293.68,4063000,292.24
5/12/2014,294.16,303.34,3729600,302.86
5/13/2014,300.75,305.6,3509900,304.64
5/14/2014,296.66,304.64,3323300,297.62
5/15/2014,290.38,299.2,4295100,295.19
5/16/2014,291.55,298.88,3636800,297.7
