Date,IBM,AMZN,MSFT,ORCL,AAPL,FB,PFE,JNJ,EBAY,TGT,CSCO,JNPR
2014-01-02,185.53,397.97,37.16,37.84,553.13,54.71,30.46,91.03,53.94,63.18,22.0,22.48
2014-01-03,186.64,396.44,36.91,37.62,540.98,54.557,30.52,91.85,53.26,63.49,21.98,22.77
2014-01-06,186.0,393.63,36.13,37.47,543.93,57.2,30.55,92.33,51.78,63.06,22.01,22.62
2014-01-07,189.71,398.03,36.41,37.85,540.0375,57.92,30.74,94.29,52.87,62.91,22.31,22.66
2014-01-08,187.97,401.92,35.76,37.72,543.46,58.23,30.95,94.16,52.37,62.69,22.293,22.92
2014-01-09,187.38,401.01,35.53,37.65,536.519,57.22,30.93,94.73,52.07,63.34,22.09,22.83
2014-01-10,187.26,397.66,36.04,38.11,532.94,57.94,30.69,94.74,52.16,62.62,22.22,23.54
2014-01-13,184.16,390.98,34.98,37.75,535.73,55.91,30.54,94.5,52.54,61.5,22.19,25.32
2014-01-14,185.92,397.54,35.78,38.21,546.39,57.74,31.0,94.72,52.96,61.71,22.41,25.42
2014-01-15,187.74,395.87,36.76,38.41,557.36,57.6,31.18,94.8,53.79,61.56,22.78,25.88
2014-01-16,188.76,395.8,36.89,38.29,554.25,57.19,31.17,94.64,53.74,60.81,22.78,25.79
2014-01-17,190.09,399.61,36.38,38.21,540.67,56.3,31.09,95.06,53.2,60.24,22.74,26.0
2014-01-21,188.43,407.05,36.17,38.11,549.07,58.51,31.23,94.03,54.15,59.2,22.83,26.03
2014-01-22,182.25,404.54,35.93,37.98,551.51,57.51,31.27,94.32,54.41,58.98,22.84,26.18
2014-01-23,182.73,399.87,36.055,38.15,556.18,56.63,31.01,92.74,54.94,58.65,22.56,26.01
2014-01-24,179.64,387.6,36.805,37.11,546.07,54.45,30.09,90.61,54.37,57.72,22.2,27.72
2014-01-27,177.9,386.28,36.03,36.49,550.5,53.55,29.66,89.94,52.88,57.71,22.0,27.92
2014-01-28,176.85,394.43,36.27,37.1,506.5,55.14,30.42,90.1,53.16,57.89,21.75,27.51
