Date,IBM,AMZN,MSFT,ORCL,AAPL,FB,PFE,JNJ,EBAY,TGT,CSCO,JNPR
2014-01-02,187.4,399.36,37.4,38.03,557.03,55.22,30.6,91.73,55.0,64.17,22.29,22.65
2014-01-03,187.35,402.71,37.22,37.86,553.7,55.65,30.83,92.22,54.19,63.89,22.12,22.82
2014-01-06,187.355,397.0,36.89,37.8,546.8,57.26,30.95,92.75,52.46,63.69,22.23,22.9
2014-01-07,190.35,398.47,36.49,37.93,545.96,58.55,31.02,94.62,53.03,63.29,22.41,22.79
2014-01-08,189.4175,403.0,36.14,37.91,545.56,58.41,30.985,94.6,53.62,62.82,22.36,22.98
2014-01-09,189.5,406.89,35.91,37.85,546.86,58.96,31.12,95.38,52.81,63.59,22.31,22.95
2014-01-10,188.57,403.764,36.15,38.14,540.8,58.3,30.95,94.975,52.2,63.63,22.28,23.93
2014-01-13,186.95,399.78,36.02,38.1975,542.5,58.25,31.03,94.99,52.91,62.23,22.82,25.96
2014-01-14,186.428,398.63,35.88,38.25,546.73,57.78,31.05,94.9,53.09,61.76,22.52,25.69
2014-01-15,188.65,399.31,36.79,38.57,560.2,58.57,31.31,95.2701,54.155,61.87,23.0,25.96
2014-01-16,188.99,399.29,37.0,38.77,556.85,58.02,31.42,95.0884,54.16,61.55,22.91,25.96
2014-01-17,190.81,403.49,36.83,38.47,552.07,57.82,31.29,95.17,53.93,60.93,22.78,26.03
2014-01-21,190.39,407.8,36.82,38.52,550.07,58.58,31.41,95.1,54.2,59.81,22.95,26.52
2014-01-22,183.5,408.06,36.32,38.28,557.29,59.31,31.34,94.55,54.51,59.82,22.95,26.25
2014-01-23,183.72,406.17,36.13,38.26,556.5,56.68,31.23,93.8,55.9,58.72,22.85,26.36
2014-01-24,182.8141,400.2,37.55,37.96,555.62,56.42,30.96,92.61,54.95,58.6,22.54,28.75
2014-01-27,179.65,394.1,36.89,37.37,554.8,54.9401,30.249,90.76,54.31,57.96,22.11,28.04
2014-01-28,178.45,394.74,36.39,37.13,515.0,55.28,30.75,90.6,53.62,58.29,22.0,27.59
2014-01-29,178.53,392.85,36.88,37.25,507.37,54.95,30.46,89.71,52.95,57.86,21.835,28.0
2014-01-30,177.86,406.25,36.88,37.56,506.5,62.5,30.85,89.78,53.35,57.2,21.99,28.03
2014-01-31,177.835,375.45,37.89,37.2,501.53,63.37,30.66,89.34,53.62,56.98,21.99,27.59
2014-02-03,176.02,360.85,37.985,37.09,507.73,63.77,31.69,88.78,53.34,56.87,21.95,26.98
2014-02-04,173.75,353.9975,37.189,36.02,509.46,63.14,32.0,87.28,53.14,55.87,21.82,26.96
2014-02-05,174.97,349.37,36.47,36.25,515.28,63.16,31.18,87.67,54.04,55.19,22.07,26.93
2014-02-06,174.85,354.82,36.25,36.83,513.5,62.78,30.91,88.76,54.53,56.0,22.58,27.52
2014-02-07,177.56,361.8,36.59,37.23,522.9299,64.57,31.28,90.04,54.74,56.41,22.72,27.27
2014-02-10,177.65,365.0,36.8,37.44,531.99,64.49,31.47,91.08,54.48,56.69,22.875,27.765
2014-02-11,180.39,363.61,37.26,37.895,537.75,65.0,31.98,92.97,54.43,57.38,22.88,27.8
2014-02-12,181.25,357.75,37.6,38.25,539.56,65.06,32.0,92.99,54.9,57.17,22.92,27.85
2014-02-13,182.36,357.2,37.86,38.49,544.85,67.33,31.8479,92.62,54.95,57.36,22.27,27.48
2014-02-14,184.43,359.34,37.78,38.33,545.9799,67.58,32.0,92.945,54.93,56.69,22.77,27.67
2014-02-18,184.0,355.73,37.78,38.12,551.19,67.5397,32.09,92.85,55.53,56.64,22.54,27.785
2014-02-19,185.65,354.54,37.75,38.295,546.89,69.08,31.96,92.75,55.5,57.82,22.56,27.5
2014-02-20,184.8599,350.46,37.87,38.35,537.0,70.11,31.71,92.73,55.31,57.4,22.4,28.389
2014-02-21,185.71,354.141,38.35,38.49,534.57,69.96,31.77,92.245,55.51,56.8,22.45,28.14
2014-02-24,185.16,353.0,37.975,38.455,529.9199,71.44,32.08,92.06,56.73,56.64,22.34,28.0429
2014-02-25,184.6,361.08,37.85,38.43,529.565,71.0,31.99,91.87,56.4899,56.61,22.22,27.83
2014-02-26,185.28,364.75,37.74,38.83,525.0,71.22,32.0,91.54,57.8,61.18,22.02,27.11
2014-02-27,185.95,360.59,37.89,39.1,528.78,70.01,32.24,91.42,59.27,60.78,22.05,27.1
2014-02-28,186.12,365.865,38.46,39.37,532.75,69.88,32.41,92.64,59.7,62.88,22.11,27.15
2014-03-03,184.64,360.96,38.13,38.99,530.65,68.05,32.14,91.98,58.57,62.41,21.82,26.685
2014-03-04,187.16,365.68,38.48,39.5,532.64,68.9,32.74,93.46,59.27,62.55,21.89,26.69
2014-03-05,187.95,372.728,38.2699,39.7,534.75,71.97,32.95,93.3,59.65,61.66,22.05,26.615
2014-03-06,188.39,375.33,38.24,39.85,534.4399,71.89,32.96,93.65,59.65,61.09,21.98,26.715
2014-03-07,188.92,374.99,38.36,39.59,531.98,71.18,32.66,93.48,59.55,60.98,21.94,26.62
2014-03-10,188.37,372.73,38.01,38.95,533.33,72.15,32.545,93.49,58.89,61.24,21.82,26.475
2014-03-11,188.45,372.8,38.23,39.02,538.74,72.59,32.62,93.75,58.94,61.52,21.93,26.41
2014-03-12,187.45,371.16,38.43,38.82,537.35,71.35,32.57,93.62,58.06,61.22,21.92,25.64
