Date,IBM,AMZN,MSFT,ORCL,AAPL,FB,PFE,JNJ,EBAY,TGT,CSCO,JNPR
2014-01-02,185.2,394.02,37.1,37.55,552.021,54.19,30.33,91.01,53.9,63.14,21.91,22.28
2014-01-03,185.3,396.22,36.6,37.56,540.43,54.53,30.38,91.26,53.19,63.4,21.83,22.395
2014-01-06,185.3,388.42,36.11,37.415,533.6,54.05,30.53,91.87,51.21,62.67,21.93,22.61
2014-01-07,186.38,394.29,36.21,37.5,537.925,57.22,30.74,92.99,51.98,62.6,22.15,22.41
2014-01-08,187.26,396.04,35.58,37.56,538.69,57.23,30.65,93.88,52.17,62.43,22.15,22.65
2014-01-09,186.55,398.44,35.4,37.46,535.3501,56.65,30.605,94.09,51.83,62.77,21.92,22.52
2014-01-10,186.28,393.8,35.75,37.59,531.11,57.06,30.5,94.14,51.11,62.16,21.99,22.54
2014-01-13,183.86,388.45,34.83,37.7,529.88,55.38,30.44,94.06,51.79,61.49,22.14,24.8
2014-01-14,183.8818,391.29,34.63,37.71,537.66,56.1,30.55,94.32,52.34,61.27,22.2,25.072
2014-01-15,185.49,392.534,35.85,38.12,551.66,57.27,30.85,94.51,53.11,61.5,22.42,25.37
2014-01-16,186.8,389.41,36.31,38.17,551.68,56.83,31.09,94.23,53.6,60.6,22.63,25.71
2014-01-17,187.86,393.66,36.15,38.03,539.9,56.07,30.95,94.38,52.98,59.87,22.58,25.66
2014-01-21,186.79,401.6,36.06,37.8,540.42,56.5,30.95,92.62,53.51,58.8,22.64,25.87
2014-01-22,179.67,402.0,35.75,37.95,547.81,57.1,31.09,93.54,53.78,58.75,22.78,25.78
2014-01-23,180.71,397.79,35.52,37.93,544.8064,55.6855,30.91,92.41,54.0,58.26,22.46,25.6912
2014-01-24,179.64,387.27,36.53,37.11,544.75,54.4,30.06,90.61,53.86,57.69,22.17,27.545
2014-01-27,177.66,380.49,35.98,36.49,545.75,51.85,29.66,89.85,52.77,57.38,21.76,27.4701
2014-01-28,176.16,387.12,35.75,36.58,502.07,54.0,30.13,89.79,52.86,57.76,21.7,27.11
2014-01-29,175.89,383.24,35.9,36.705,498.62,53.19,30.0,88.53,52.05,56.83,21.6,27.3
2014-01-30,176.36,387.7,36.23,37.08,496.7,60.46,30.21,89.01,52.44,56.65,21.63,27.48
2014-01-31,175.34,357.76,36.56,36.68,493.55,60.17,30.21,88.15,52.3,55.96,21.61,26.56
2014-02-03,172.72,340.1,36.43,35.82,499.3,60.7,30.57,86.61,52.11,55.28,21.455,26.23
2014-02-04,172.36,344.02,36.25,35.44,502.76,61.82,30.6,86.09,52.48,55.1,21.4,26.37
2014-02-05,172.19,337.73,35.8,35.47,506.2519,61.27,30.58,86.48,52.04,54.66,21.575,26.18
2014-02-06,173.79,347.403,35.69,36.11,507.81,61.46,30.6,87.55,53.52,55.09,21.97,26.88
2014-02-07,175.07,352.49,36.01,36.71,517.38,62.22,30.61,88.61,53.84,55.54,22.3,26.7894
2014-02-10,176.25,359.35,36.29,37.07,518.0,63.473,31.13,89.8,53.43,56.17,22.56,27.1401
2014-02-11,176.8,356.25,36.86,37.39,529.5,63.35,31.43,90.95,53.45,56.55,22.67,27.38
2014-02-12,179.26,346.32,37.3,37.66,533.24,64.05,31.55,91.95,54.16,56.62,22.52,26.97
2014-02-13,177.86,346.5,37.33,37.78,534.2,64.05,31.4,91.71,54.11,56.45,21.675,26.82
2014-02-14,180.99,353.35,37.33,37.92,541.21,66.72,31.7,92.0282,54.06,55.76,22.2,27.32
2014-02-18,182.32,349.45,37.41,37.73,545.61,66.07,31.7901,92.09,54.51,56.17,22.33,27.15
2014-02-19,182.41,346.1,37.21,37.8,534.35,67.0,31.44,91.57,54.63,56.32,22.22,27.08
2014-02-20,182.79,344.38,37.395,37.7,529.0,65.727,31.26,91.31,54.73,56.41,22.16,27.18
2014-02-21,182.62,346.75,37.86,38.08,524.6,68.45,31.44,91.45,54.58,56.15,22.13,27.6
2014-02-24,182.82,343.29,37.54,38.04,522.42,68.54,31.53,91.1,54.88,55.44,22.0,26.615
2014-02-25,182.88,351.58,37.35,37.89,521.0,69.45,31.54,90.66,55.6,55.81,21.76,27.03
2014-02-26,183.56,357.17,37.19,38.35,515.6,68.85,31.72,90.77,56.18,58.1,21.55,26.7
2014-02-27,183.81,355.5,37.23,38.36,516.05,68.87,31.83,90.75,57.12,59.75,21.86,26.77
2014-02-28,183.65,357.084,37.82,38.65,522.12,67.38,31.85,91.06,58.35,60.4,21.7,26.28
2014-03-03,182.82,354.48,37.495,38.38,522.81,66.51,31.52,90.83,57.45,61.7,21.44,26.28
2014-03-04,185.68,362.46,38.07,39.06,527.77,67.62,32.34,92.25,58.75,61.25,21.7,26.12
2014-03-05,186.4,363.9,37.93,39.3,529.13,69.62,32.6,92.38,58.8,60.36,21.81,26.27
2014-03-06,186.9,368.9,37.89,39.42,528.1,70.25,32.41,92.82,58.86,60.52,21.75,26.37
2014-03-07,187.18,369.531,37.69,38.6,526.05,69.47,32.18,92.6901,58.6301,60.57,21.66,26.15
2014-03-10,185.849,367.0,37.72,38.65,528.3391,70.51,32.29,92.79,58.03,60.7,21.6,25.95
2014-03-11,186.04,367.28,37.72,38.615,532.59,69.96,32.24,93.09,57.48,60.87,21.58,25.33
2014-03-12,185.89,363.61,37.79,38.28,532.0,69.0,31.93,92.65,56.97,60.52,21.53,25.21
2014-03-13,183.71,368.08,37.6414,37.52,529.16,68.15,30.91,92.98,56.46,59.71,21.5,25.09
2014-03-14,182.21,371.55,37.5058,37.5002,523.0,67.46,30.83,92.46,56.41,59.27,21.28,25.11
2014-03-17,182.66,374.88,37.79,37.8,525.85,66.62,31.26,93.18,57.06,59.3,21.27,25.16
2014-03-18,185.54,375.0,38.22,38.155,525.2001,68.3,31.42,93.48,57.27,59.56,21.29,25.35
2014-03-19,183.5001,369.42,38.91,37.4,529.0,67.465,31.39,92.92,56.97,59.06,21.555,26.2
2014-03-20,184.17,366.22,39.24,38.01,527.35,66.82,31.71,92.96,56.64,59.26,21.59,26.15
2014-03-21,186.4,358.4,40.01,37.5,526.33,66.1786,31.4601,93.88,56.78,59.36,21.58,25.91
2014-03-24,187.37,348.6,39.86,37.38,535.06,63.36,31.33,94.54,56.181,59.16,21.465,25.6
2014-03-25,188.7,348.84,39.9599,38.1,539.59,63.78,31.59,95.7,55.735,58.6,21.65,25.84
2014-03-26,191.96,343.4,39.6,38.36,538.86,60.37,31.67,97.05,55.47,59.06,22.32,25.6651
2014-03-27,189.322,330.88,39.34,38.8,535.1201,57.98,31.9,96.26,54.23,59.02,21.94,25.32
2014-03-28,189.11,336.08,39.68,39.19,534.25,59.335,31.7401,96.96,54.74,59.7,22.05,25.33
2014-03-31,191.4,334.06,40.4,39.63,535.93,59.87,31.83,97.61,55.21,59.95,22.4,25.6501
2014-04-01,192.78,338.0,41.07,40.96,536.77,60.24,31.75,97.37,55.39,60.3,22.3,25.86
2014-04-02,192.49,340.38,41.17,40.85,540.26,62.21,31.81,97.37,55.29,60.45,22.76,26.26
