Date,IBM,AMZN,MSFT,ORCL,AAPL,FB,PFE,JNJ,EBAY,TGT,CSCO,JNPR
2014-01-02,4546500.0,2137800.0,30632200.0,18162100.0,8381600.0,43195500.0,17425300.0,5919600.0,9974200.0,7400100.0,44377000.0,5653500.0
2014-01-03,4063200.0,2210200.0,31134800.0,11693900.0,14016700.0,38246200.0,15035400.0,5637600.0,9589200.0,4589400.0,36328200.0,4879800.0
2014-01-06,4067800.0,3170600.0,43603700.0,15329400.0,14736100.0,68852600.0,23961500.0,7443500.0,17905000.0,4609600.0,34150300.0,8412800.0
2014-01-07,5932300.0,1916000.0,35802800.0,16792200.0,11328900.0,77207400.0,22223000.0,11063300.0,14075000.0,5398300.0,37368800.0,10464500.0
2014-01-08,4603700.0,2316500.0,59971700.0,16111600.0,9233200.0,56682400.0,22923200.0,9096700.0,13033500.0,5529900.0,38362700.0,12018700.0
2014-01-09,4321300.0,2103000.0,36516300.0,13623500.0,9969600.0,92253300.0,20581500.0,7944700.0,10528200.0,7264600.0,31794000.0,12526500.0
2014-01-10,4022400.0,2679500.0,40548800.0,15402900.0,10892000.0,42449500.0,21718100.0,6697400.0,20052800.0,12949700.0,30318600.0,20688700.0
2014-01-13,5784700.0,2844900.0,45901900.0,20848300.0,13517600.0,63010900.0,23981400.0,9589200.0,19052900.0,8031200.0,59600000.0,36753200.0
2014-01-14,4619200.0,2340100.0,41623300.0,13486400.0,11877200.0,37503600.0,32976600.0,7567300.0,12843000.0,5519900.0,44300800.0,12088900.0
2014-01-15,4816500.0,2678300.0,44812600.0,17010900.0,13987100.0,33663400.0,28816800.0,7390700.0,13862700.0,4233700.0,61767800.0,6847800.0
2014-01-16,4770300.0,2601200.0,38018700.0,13463000.0,8188500.0,34541800.0,18573100.0,8401100.0,11266700.0,5288400.0,38918100.0,3798600.0
2014-01-17,7644600.0,4505100.0,46267500.0,14051100.0,15240700.0,40849200.0,21623200.0,13714400.0,22722400.0,8132100.0,44349100.0,6603600.0
2014-01-21,11076300.0,3122100.0,31567300.0,13540000.0,11733100.0,48669200.0,24056600.0,16368400.0,15951200.0,10595500.0,33423000.0,5969800.0
2014-01-22,13796100.0,2060500.0,21904300.0,14006300.0,13570900.0,61352900.0,22347500.0,8875500.0,35458900.0,7185100.0,30700100.0,5579900.0
2014-01-23,6973900.0,3025400.0,43954000.0,14174200.0,14401400.0,47951800.0,25016500.0,9322300.0,61894800.0,7029900.0,37013600.0,12223800.0
2014-01-24,6890600.0,4458400.0,76395500.0,26815600.0,15334100.0,55200700.0,36109600.0,10604200.0,24500700.0,7467500.0,40917300.0,38419000.0
2014-01-27,5208600.0,3936800.0,44420800.0,19073800.0,19817100.0,73924100.0,33093200.0,8685200.0,22439100.0,6013100.0,60510000.0,13621000.0
2014-01-28,5333300.0,2894500.0,36205500.0,13899900.0,38054400.0,48191200.0,34077000.0,8254400.0,12917500.0,4907300.0,41431800.0,10868800.0
2014-01-29,4970900.0,3382300.0,52745900.0,16553600.0,17957500.0,92995600.0,29218800.0,11160100.0,16566900.0,5928000.0,35406500.0,9525300.0
2014-01-30,4853700.0,10473900.0,35036300.0,12975500.0,24232200.0,150178900.0,32099500.0,6874900.0,16636200.0,6207900.0,42883000.0,6548100.0
2014-01-31,5193400.0,16154800.0,93162300.0,17039700.0,16599900.0,87794600.0,41411800.0,12193800.0,12358800.0,6326300.0,43325300.0,16100200.0
2014-02-03,7186800.0,10280800.0,64063100.0,21272600.0,14338000.0,74866600.0,61310600.0,13944600.0,16855000.0,6733600.0,60693300.0,11248200.0
2014-02-04,4349800.0,4812900.0,54697900.0,16228000.0,13452900.0,45985500.0,47228700.0,11436400.0,10971100.0,5969600.0,46626500.0,8717100.0
2014-02-05,4712300.0,4435400.0,55814400.0,11458400.0,11726600.0,51685100.0,37159800.0,10667300.0,16766800.0,8176000.0,46291400.0,7458200.0
2014-02-06,4292200.0,3335700.0,35351800.0,14762200.0,9205900.0,42086500.0,23567000.0,10037900.0,15126900.0,8886800.0,49584300.0,6092600.0
2014-02-07,4692900.0,4330500.0,33260500.0,13114700.0,13224300.0,60704300.0,27809100.0,9435100.0,9746400.0,6344700.0,54109200.0,7409500.0
2014-02-10,3540400.0,3449700.0,26767000.0,10976900.0,12341400.0,43666100.0,22591400.0,8080200.0,9675300.0,6017900.0,45300500.0,7966100.0
2014-02-11,4647300.0,3222100.0,32141400.0,12066100.0,10080600.0,45675600.0,24740400.0,11556300.0,11677400.0,8170900.0,45804800.0,5553200.0
2014-02-12,3983000.0,6587700.0,27051800.0,12343200.0,11003600.0,47282100.0,21258500.0,7696100.0,11474100.0,7010800.0,69832400.0,8012200.0
2014-02-13,4482000.0,4175000.0,37635500.0,11683200.0,10978500.0,61911700.0,18867700.0,5926000.0,11783800.0,7564500.0,153739400.0,8817900.0
2014-02-14,4659900.0,3520200.0,31407500.0,15641400.0,9747300.0,36694900.0,18895600.0,5485100.0,9673400.0,8586200.0,64513500.0,5299300.0
2014-02-18,4435200.0,4998000.0,32834000.0,10560300.0,9294700.0,43809900.0,19687600.0,6926500.0,9814800.0,6094900.0,31014400.0,5832000.0
2014-02-19,4671500.0,4168100.0,29750400.0,12491400.0,11206000.0,62087100.0,27746900.0,7693400.0,9642100.0,8838300.0,29309100.0,6197400.0
2014-02-20,4968200.0,3492800.0,27526100.0,11786000.0,10923500.0,130928900.0,22456000.0,8160100.0,7981100.0,8790200.0,26215000.0,18045100.0
2014-02-21,5699300.0,4210000.0,38021300.0,13243600.0,9956600.0,70932400.0,18471400.0,7381500.0,10380800.0,6596600.0,31483000.0,17581700.0
2014-02-24,4595300.0,3644700.0,32085100.0,10388100.0,10318200.0,76620300.0,38775000.0,8406700.0,18956000.0,9151600.0,41858000.0,10857400.0
2014-02-25,3902300.0,3736400.0,30736500.0,11766400.0,8284000.0,52077000.0,27196600.0,6383400.0,10197200.0,8030600.0,45303600.0,6697300.0
2014-02-26,3740700.0,3622100.0,41041800.0,11482900.0,9864900.0,55322700.0,25023400.0,6334100.0,18457100.0,24180800.0,43574600.0,6603000.0
2014-02-27,3827800.0,3104900.0,33903400.0,14055700.0,10781500.0,41653700.0,22753300.0,7040300.0,21803700.0,9453700.0,25804000.0,5623500.0
2014-02-28,4667900.0,3882000.0,41215000.0,19257800.0,13284600.0,66783700.0,27517600.0,9643700.0,16362400.0,14246300.0,40863200.0,15813600.0
2014-03-03,3950100.0,2798300.0,29717500.0,13293700.0,8527900.0,56824100.0,23791900.0,7506700.0,10489400.0,6813300.0,37292900.0,5277600.0
2014-03-04,4733000.0,2704400.0,26802400.0,13682100.0,9255000.0,42013500.0,26325100.0,8796300.0,9955600.0,6400100.0,35673900.0,13212000.0
2014-03-05,3485200.0,3848300.0,20520100.0,11929200.0,7145100.0,74567700.0,22451400.0,6842500.0,9559100.0,7421100.0,28203400.0,6307600.0
2014-03-06,3817300.0,2926600.0,23582200.0,13081900.0,6624600.0,46026500.0,20520900.0,7718300.0,12027700.0,4835100.0,23567000.0,5732900.0
2014-03-07,4117800.0,2279800.0,26591600.0,13821500.0,7883200.0,38927000.0,17610800.0,6792000.0,9094700.0,3817500.0,33180000.0,7407000.0
2014-03-10,4591200.0,2105800.0,19006600.0,8670300.0,6378000.0,59871600.0,15957400.0,4878200.0,9759100.0,3663700.0,26163300.0,7506800.0
2014-03-11,4229500.0,2246100.0,25216400.0,12841500.0,9972300.0,59408300.0,24165700.0,5837200.0,10239500.0,4485100.0,34642200.0,14671100.0
2014-03-12,4833000.0,2216600.0,30494100.0,13226200.0,7118800.0,46340500.0,32517500.0,6154900.0,8969000.0,3851500.0,31854300.0,11688000.0
2014-03-13,4913200.0,6829000.0,32169700.0,15361200.0,9205100.0,57091000.0,45895700.0,7659400.0,12313400.0,6142600.0,42144400.0,7386400.0
2014-03-14,5490300.0,4402200.0,27195600.0,14308300.0,8471400.0,48227000.0,27112600.0,7337800.0,8518700.0,5631200.0,38256700.0,7558800.0
2014-03-17,4938100.0,2303000.0,20479600.0,14981300.0,7126600.0,52197000.0,21264200.0,5872600.0,8420000.0,3424500.0,33221900.0,9719400.0
2014-03-18,3961300.0,2483500.0,64063900.0,29707200.0,7487400.0,40827000.0,23080400.0,5891900.0,6258600.0,3129000.0,45849600.0,5548000.0
2014-03-19,4323900.0,2646700.0,35597200.0,45154900.0,8027000.0,43981000.0,23083000.0,5937600.0,7046100.0,4280700.0,32674300.0,7602500.0
2014-03-20,5062600.0,2558500.0,59269800.0,18960200.0,7442800.0,44439000.0,22695800.0,5727400.0,7504500.0,3332100.0,34952800.0,4851400.0
2014-03-21,12535200.0,5414100.0,80721800.0,33897900.0,13358800.0,59999900.0,62118800.0,23988800.0,11748500.0,5995400.0,97372900.0,7848000.0
2014-03-24,5738500.0,4873500.0,46098400.0,22539000.0,12703600.0,85696000.0,41805200.0,13944100.0,8817600.0,4543700.0,32782100.0,5614800.0
2014-03-25,10912700.0,4445700.0,43193100.0,19750600.0,10081900.0,68786000.0,21137000.0,14167300.0,8106900.0,5216800.0,53374300.0,5513800.0
2014-03-26,6851700.0,4120700.0,41977500.0,31357500.0,10706000.0,97503900.0,31579500.0,11215100.0,7573700.0,4438900.0,67098900.0,5709500.0
2014-03-27,6767700.0,5766400.0,35369200.0,26283600.0,7929700.0,112650000.0,27744000.0,8694600.0,9425300.0,4416400.0,52152300.0,4694000.0
2014-03-28,5194400.0,3986800.0,43472700.0,18405100.0,7163000.0,67052000.0,21969900.0,8816000.0,8874400.0,3063900.0,49289400.0,4239900.0
2014-03-31,8537300.0,4297500.0,46886300.0,48340300.0,6023900.0,53011000.0,18473200.0,7545700.0,7097500.0,4255900.0,32887800.0,4030700.0
2014-04-01,5394100.0,3600100.0,32605000.0,35431800.0,7170000.0,59291000.0,21836600.0,7068500.0,7945100.0,4246000.0,80106400.0,5957300.0
2014-04-02,4924100.0,4475500.0,28666700.0,22754900.0,6443600.0,66277000.0,21615400.0,7995600.0,9460800.0,3970400.0,38363700.0,3812200.0
2014-04-03,4091100.0,6399300.0,30139600.0,22497000.0,5798000.0,83859000.0,20036000.0,5471200.0,11321800.0,4565300.0,30311200.0,6303000.0
2014-04-04,6089900.0,12534600.0,51409600.0,23836200.0,9830400.0,125214400.0,26274500.0,10309700.0,15959000.0,3823500.0,49355400.0,7460400.0
2014-04-07,6740500.0,7077400.0,37559600.0,27311900.0,10351800.0,108488000.0,54582500.0,11409200.0,16807200.0,4199100.0,55317100.0,8463100.0
2014-04-08,5125000.0,6577600.0,35918600.0,22197600.0,8710300.0,78836000.0,34572700.0,9601800.0,18810300.0,4527800.0,37373900.0,8225300.0
2014-04-09,5480100.0,5056600.0,27398700.0,20314000.0,7363200.0,100215000.0,38687000.0,8921300.0,10892500.0,4689100.0,37888600.0,8534300.0
2014-04-10,8417900.0,6126700.0,45960800.0,26397800.0,8559000.0,114988000.0,30444700.0,9667800.0,29285300.0,5904100.0,53927000.0,7647000.0
2014-04-11,4835000.0,7287500.0,34330200.0,18655800.0,9704200.0,91452000.0,40821100.0,8710700.0,12733000.0,5330700.0,47253900.0,8927900.0
2014-04-14,5431100.0,4293500.0,32006600.0,16022000.0,7345500.0,72325000.0,28833800.0,8617200.0,12009500.0,4065900.0,35804300.0,7932400.0
2014-04-15,5351300.0,5398600.0,33968700.0,14553400.0,9517500.0,108623000.0,30079100.0,13999100.0,10699200.0,3717000.0,29845400.0,7184000.0
2014-04-16,8527300.0,4284900.0,30615800.0,13614800.0,7670200.0,78774000.0,29503800.0,11308000.0,7244300.0,3539600.0,31451900.0,7926600.0
2014-04-17,11255500.0,4299200.0,36689400.0,14644100.0,10154800.0,88040000.0,26536800.0,9153500.0,7514100.0,3634700.0,47813400.0,9636900.0
2014-04-21,5419700.0,2999400.0,22221200.0,8593600.0,6519600.0,60364000.0,30334900.0,7031400.0,5983300.0,3704100.0,38795200.0,5225800.0
2014-04-22,3878600.0,3711600.0,27056700.0,10396100.0,7234400.0,60631000.0,25974800.0,7937900.0,7460100.0,4834600.0,28725000.0,9651800.0
2014-04-23,4736400.0,3604600.0,24602800.0,10048500.0,14105000.0,96565000.0,20493200.0,5876000.0,6611500.0,2969900.0,29972800.0,18234600.0
2014-04-24,4407100.0,9293700.0,42381600.0,13966400.0,27139700.0,138769000.0,24963800.0,6149900.0,7691000.0,3671000.0,33976700.0,12027100.0
2014-04-25,3871000.0,16180200.0,56876800.0,11647800.0,13938400.0,92502000.0,18669500.0,5895900.0,9638700.0,5164600.0,25087300.0,7907100.0
2014-04-28,5638300.0,14479800.0,50610200.0,20141200.0,23910200.0,107758000.0,71421600.0,8792900.0,9724600.0,4895200.0,36817100.0,10258900.0
2014-04-29,4626300.0,6509300.0,29636200.0,14996300.0,12049200.0,75557000.0,39659100.0,7811200.0,13908800.0,4176400.0,14582400.0,6498700.0
2014-04-30,4206800.0,4088600.0,35458700.0,16480900.0,16308600.0,76093000.0,36534500.0,8513600.0,32515900.0,4526900.0,23948500.0,6353400.0
2014-05-01,3674000.0,4328600.0,28787400.0,13945500.0,8716000.0,82429000.0,41507800.0,6590500.0,12793500.0,3611600.0,17463700.0,5829100.0
2014-05-02,3049900.0,3995100.0,43416600.0,10710100.0,6839800.0,54189000.0,41708500.0,8744200.0,12210600.0,3423800.0,18757000.0,5106300.0
2014-05-05,2222100.0,2519900.0,22460900.0,13722700.0,10252400.0,46057000.0,54902600.0,5438200.0,10896600.0,16189500.0,17859200.0,3811500.0
2014-05-06,3188700.0,4682300.0,27112400.0,12647500.0,13377300.0,55901000.0,54719800.0,5795900.0,14641700.0,13323400.0,21815200.0,4127100.0
2014-05-07,3821000.0,7015200.0,41744500.0,12570400.0,10102300.0,78587000.0,49054400.0,8720800.0,19840100.0,6424400.0,38895200.0,4955500.0
2014-05-08,2431900.0,3848200.0,32120400.0,10212900.0,8224900.0,61251000.0,36093400.0,5667900.0,13043200.0,6808800.0,32181400.0,4703900.0
2014-05-09,2261600.0,4063000.0,29647600.0,10262400.0,10414200.0,52584000.0,38996300.0,5691700.0,14188600.0,6254800.0,22593900.0,3959300.0
2014-05-12,3777400.0,3729600.0,22782600.0,18751400.0,7614600.0,48575000.0,21654700.0,7437300.0,12768700.0,3719600.0,40216100.0,4097600.0
